;Vilnius;Warsaw;The Hague;Milan;Florence
Vilnius;0.0;393.9931284233527;1419.619227926469;1535.96881482435;1580.8433733451675
Warsaw;393.9931284233527;0.0;1140.2124757638105;1145.7847622812076;1187.2466457737273
The Hague;1419.619227926469;1140.2124757638105;0.0;817.9861456894406;1058.6249620280719
Milan;1535.96881482435;1145.7847622812076;817.9861456894406;0.0;249.65575156202334
Florence;1580.8433733451675;1187.2466457737273;1058.6249620280719;249.65575156202334;0.0
